CustomerID,성별,나이,금융자산(억),부동산(억),연간수익률(%),투자목표(Purpose),투자기간(InvestmentHorizion),위험선호도(RiskTolerance),신용등급(CreditRating)
29,M,60s,19.09,49.03,-2.4360128440452544,Stable,Long,Neutral,BBB
30,M,40s,5.0,60.38,-1.2317033228558372,Retire,Long,Safe,AAA
31,F,50s,24.78,27.85,10.710709273207208,Inheritance,Medium,Neutral,BBB
32,M,50s,68.19,54.06,-3.1325505761568784,Stable,Long,Safe,BBB
33,M,60s,21.9,25.45,16.250672232631878,Retire,Medium,Safe,AA
34,F,60s,30.65,60.58,2.237219438282101,Growth,Long,Safe,AAA
35,F,40s,41.98,75.29,-4.454346732287606,Retire,Medium,Avoid,AAA
36,F,50s,13.3,74.35,7.837361973449752,Inheritance,Long,Neutral,BBB
37,M,60s,49.33,36.82,5.208791326251738,Stable,Medium,Neutral,A
38,M,70+,111.02,12.99,-1.966555509742996,Growth,Long,Safe,AAA
39,F,60s,26.1,19.09,-7.166510738075072,Stable,Medium,Aggressive,A
40,M,70+,12.14,56.58,-2.725593256646941,Growth,Short,Neutral,AAA
41,M,60s,28.41,300.04,-2.1173211005423243,Growth,Medium,Active,A
42,M,60s,5.06,24.37,-0.608353698359354,Growth,Long,Neutral,AAA
43,M,40s,39.23,49.91,-4.08382026546118,Growth,Short,Safe,BBB
44,F,60s,43.03,20.08,-4.634733840529027,Retire,Short,Aggressive,BBB
45,M,60s,114.49,13.78,-7.98778126459827,Inheritance,Medium,Active,BBB
46,F,60s,25.66,18.02,-9.078343299746647,Growth,Medium,Neutral,AA
47,M,50s,41.55,5.08,-7.268319798286537,Growth,Medium,Safe,AAA
48,M,50s,15.04,111.95,1.2969516987504814,Growth,Medium,Safe,AAA
49,M,50s,22.53,5.0,-1.6713164021215254,Retire,Short,Active,AA
50,M,50s,8.84,26.12,16.647936801625796,Growth,Short,Avoid,AAA
51,F,40s,25.64,11.47,5.1328093950469,Retire,Long,Neutral,AA
52,F,60s,23.47,14.94,1.5979292844310766,Growth,Short,Neutral,AAA
53,F,40s,38.07,114.31,-0.5986860927943871,Stable,Long,Safe,BBB
54,F,40s,18.19,39.68,3.1796946381574376,Retire,Medium,Neutral,AAA
55,M,50s,32.03,13.89,5.549337323166159,Inheritance,Long,Neutral,AA
56,F,60s,22.95,19.48,0.6900195295468814,Inheritance,Short,Safe,AAA
57,M,50s,22.98,16.63,0.0083862147278734,Growth,Long,Neutral,A
58,M,50s,31.95,31.84,-7.650579283314506,Growth,Medium,Active,BBB
59,M,60s,30.95,38.69,16.053223854411257,Growth,Short,Neutral,A
60,M,50s,55.09,182.37,-5.712732171207236,Growth,Medium,Neutral,BBB
61,M,70+,27.21,5.9,-0.7896577360160695,Retire,Medium,Neutral,AA
62,M,70+,22.65,32.09,-12.367179022030694,Inheritance,Medium,Safe,A
63,F,50s,25.93,24.93,8.507149151852733,Growth,Medium,Aggressive,AAA
64,M,50s,16.92,77.63,1.808025815563119,Growth,Long,Neutral,AA
65,M,60s,22.47,45.57,-7.3384979470981,Inheritance,Medium,Safe,BBB
66,M,40s,152.16,56.34,2.2870028286681165,Stable,Medium,Neutral,AAA
67,M,50s,14.44,45.18,9.966901827196262,Stable,Long,Neutral,A
68,F,50s,23.98,14.31,-3.086840046706174,Inheritance,Long,Safe,BBB
69,M,70+,21.98,98.51,-21.848395717443346,Stable,Short,Active,AA
70,F,40s,24.59,67.94,3.142650298515948,Growth,Long,Avoid,AAA
71,F,60s,22.99,75.49,3.397767605284785,Stable,Medium,Neutral,AA
72,M,60s,37.46,103.3,-18.27417086186024,Growth,Short,Neutral,AAA
73,M,50s,7.63,48.23,7.760787866450269,Growth,Medium,Safe,AA
74,F,40s,68.7,125.57,-2.4199400676214733,Growth,Short,Active,A
75,F,70+,49.7,46.52,5.815183959415315,Stable,Medium,Neutral,AA
76,F,50s,11.09,27.19,0.9860637058449973,Stable,Medium,Neutral,AA
77,F,60s,5.0,32.92,0.9400421952438842,Growth,Medium,Neutral,BBB
78,M,50s,13.71,32.41,-7.916985754656947,Inheritance,Long,Active,AAA
79,M,50s,24.68,20.75,3.0305957376941306,Retire,Long,Safe,AA
80,M,50s,236.09,143.84,5.325477201461881,Retire,Long,Neutral,AAA
81,F,40s,46.28,43.24,0.4295516153688838,Retire,Long,Active,AA
82,F,40s,7.06,36.06,-0.4399429257380127,Inheritance,Long,Avoid,A
83,M,60s,17.26,46.97,-1.393398761685738,Growth,Long,Safe,AA
84,M,50s,28.72,483.9,-0.6252297420776265,Inheritance,Long,Aggressive,AA
85,M,40s,36.71,11.96,-10.601498900636908,Stable,Short,Aggressive,AA
86,M,50s,10.47,15.48,-1.9498250398395145,Stable,Medium,Neutral,AA
87,F,60s,26.9,9.56,-1.350934613745669,Growth,Long,Neutral,AAA
88,F,40s,16.88,26.86,6.105238873427288,Retire,Medium,Neutral,AAA
89,F,60s,12.39,41.3,-9.811516329084412,Stable,Short,Safe,A
90,M,40s,36.88,21.78,-2.2474540807814525,Stable,Medium,Neutral,BBB
91,M,40s,55.65,20.37,1.2428028887401463,Retire,Long,Neutral,AA
92,F,40s,58.72,37.64,-10.49005308723826,Stable,Medium,Avoid,A
93,F,60s,47.44,21.08,4.87201291367283,Retire,Medium,Neutral,BBB
94,M,40s,20.13,43.78,4.962140563835304,Retire,Short,Neutral,AAA
95,F,40s,53.07,90.27,3.659600352425918,Stable,Long,Neutral,AA
96,M,50s,38.37,60.91,-6.145087099174285,Growth,Medium,Neutral,AA
97,M,60s,33.35,73.18,-3.870533845490853,Retire,Short,Active,AA
98,M,50s,18.37,88.0,2.2995501145437247,Stable,Long,Safe,AA
99,M,50s,20.14,42.71,-0.3045110177559262,Retire,Long,Neutral,AAA
100,M,40s,31.79,28.71,4.544206966056041,Stable,Long,Neutral,BBB
101,M,50s,211.01,16.53,5.853674155282573,Growth,Long,Safe,AA
102,F,60s,38.13,23.29,6.854811825275764,Growth,Medium,Safe,AA
103,M,60s,18.38,20.67,7.121760178980541,Growth,Long,Neutral,A
104,M,50s,15.4,63.98,-5.834400019431318,Retire,Medium,Neutral,AAA
105,F,50s,20.22,45.25,0.1382785799525887,Retire,Long,Active,AAA
106,M,40s,171.03,62.0,-2.271247292080636,Retire,Short,Neutral,AAA
107,M,50s,21.77,11.65,-0.0339336087181951,Inheritance,Short,Safe,AA
108,F,40s,61.9,120.13,26.812879875443382,Growth,Medium,Neutral,AAA
109,M,60s,22.18,22.55,-2.0547632121316384,Retire,Short,Neutral,A
110,M,70+,36.93,12.3,4.685170919971449,Retire,Medium,Neutral,BBB
111,M,70+,56.45,22.3,4.144300372238385,Stable,Long,Active,A
112,M,70+,18.96,309.63,6.716629519501072,Retire,Long,Neutral,AAA
113,F,60s,17.94,23.36,12.39326629772808,Growth,Short,Avoid,BBB
114,F,60s,112.97,24.72,0.2640695095894152,Stable,Short,Safe,A
115,F,50s,65.87,27.86,-7.310175972353794,Growth,Long,Neutral,AA
116,F,60s,56.4,28.97,-1.0953722652284892,Stable,Long,Safe,AA
117,F,50s,56.25,16.39,2.6416102516955364,Retire,Short,Neutral,AAA
118,M,50s,43.28,37.67,7.677651710606126,Stable,Long,Neutral,AA
119,F,60s,150.54,87.19,-3.539290563135955,Growth,Long,Neutral,AA
120,M,50s,31.04,43.94,-7.259785120476236,Stable,Short,Neutral,BBB
121,F,50s,47.55,12.18,12.137862604172687,Stable,Medium,Neutral,AA
122,F,70+,9.39,24.29,-5.810379425045209,Growth,Medium,Safe,AA
123,M,40s,15.49,20.16,2.8842629379065565,Retire,Long,Neutral,AA
124,M,50s,11.47,34.73,6.144258423004567,Stable,Short,Neutral,AAA
125,M,70+,83.03,109.66,-0.3928368893353351,Stable,Medium,Neutral,A
126,M,60s,5.0,28.96,4.730305554063641,Growth,Long,Safe,AAA
127,F,50s,21.72,30.59,2.0508515981200626,Retire,Medium,Neutral,AAA
128,F,50s,5.0,164.0,0.1877268874398208,Growth,Long,Neutral,A
129,M,50s,15.41,72.86,6.368510163950081,Retire,Short,Avoid,BBB
130,M,70+,20.23,55.52,4.071183929676336,Retire,Long,Active,AA
131,M,60s,90.73,192.93,2.6635515476401306,Growth,Long,Neutral,A
132,M,50s,41.15,51.46,-10.692200028812282,Growth,Long,Neutral,AA
133,M,40s,15.39,5.54,10.80154380028986,Growth,Short,Neutral,A
134,M,40s,70.3,70.06,8.43793262223167,Stable,Short,Aggressive,AAA
135,F,70+,30.39,7.9,-2.1020482047382827,Stable,Long,Neutral,BBB
136,M,50s,30.88,49.74,1.5953900909802643,Growth,Medium,Neutral,A
137,M,60s,11.45,7.08,6.853784735013035,Stable,Long,Neutral,AA
138,F,40s,13.57,21.75,4.111845438775919,Retire,Long,Safe,AA
139,M,60s,15.49,23.87,-2.097778496671754,Retire,Long,Safe,A
140,F,70+,31.1,16.56,7.378160920273191,Retire,Medium,Safe,AAA
141,F,60s,31.89,24.19,4.754972808122271,Stable,Long,Safe,AAA
142,M,40s,103.06,83.87,8.107244017796944,Inheritance,Long,Neutral,AA
143,M,60s,40.77,17.42,7.285520569605763,Growth,Medium,Safe,AAA
144,M,60s,5.0,54.09,1.5449590678091596,Inheritance,Long,Neutral,AA
145,M,50s,36.97,13.89,3.930742325292247,Other,Short,Neutral,AAA
146,M,70+,9.39,27.92,3.0757833398325607,Stable,Long,Safe,AA
147,F,60s,13.84,44.32,-2.881188116903566,Retire,Long,Safe,AA
148,M,70+,15.65,13.51,-0.9026714443788332,Stable,Medium,Neutral,A
149,M,60s,17.63,10.17,-1.774713192609212,Growth,Medium,Safe,A
150,M,40s,9.97,51.56,2.6702789684040384,Stable,Short,Neutral,AA
151,F,50s,35.26,90.99,-0.0320426901696646,Stable,Long,Neutral,BBB
152,M,50s,9.69,30.84,-4.655895620840356,Retire,Long,Neutral,BBB
153,M,70+,39.86,21.94,10.938860332361088,Stable,Short,Neutral,AA
154,M,60s,179.39,38.1,-1.735543939830686,Stable,Long,Neutral,A
155,F,60s,10.35,34.81,1.635282443003394,Stable,Long,Active,AA
156,M,50s,23.86,41.21,-8.450912475115457,Growth,Long,Safe,A
157,F,40s,5.0,5.0,4.2967797246007855,Retire,Long,Aggressive,AA
158,F,60s,23.55,12.65,0.1946867466991353,Inheritance,Medium,Neutral,A
159,M,50s,50.11,15.48,2.318725281742262,Retire,Long,Neutral,AAA
160,F,50s,53.33,37.93,2.491337649340464,Inheritance,Medium,Neutral,A
161,M,60s,31.88,39.15,2.6911956817096128,Stable,Long,Neutral,A
162,F,40s,61.03,58.71,0.0025880174113313,Growth,Long,Aggressive,AAA
163,F,50s,229.72,41.76,8.674812354965988,Retire,Medium,Safe,BBB
164,M,50s,117.9,10.27,4.8405915470900895,Growth,Short,Neutral,AA
165,M,40s,19.73,121.79,8.419258422567433,Growth,Short,Safe,AA
166,F,70+,9.39,104.03,3.4881561901315417,Retire,Medium,Safe,BBB
167,M,50s,21.65,10.67,5.883552066301223,Retire,Medium,Neutral,AAA
168,M,40s,14.05,44.68,1.5745488200867408,Stable,Long,Avoid,BBB
169,M,50s,42.99,19.38,-3.2444306474187057,Retire,Medium,Active,AA
170,M,60s,11.65,37.52,-3.4507879834938526,Retire,Medium,Neutral,AA
171,F,50s,28.27,85.45,-3.212520494824933,Growth,Medium,Neutral,AA
172,M,60s,58.58,225.22,-7.098042790328785,Retire,Medium,Safe,AAA
173,M,40s,27.64,65.11,6.3092320598289175,Growth,Short,Safe,BBB
174,M,40s,14.05,43.18,-2.42890731717329,Growth,Short,Active,AA
175,F,50s,76.7,24.39,5.100357995681937,Growth,Medium,Neutral,A
176,M,60s,6.66,39.01,14.594339870770456,Retire,Short,Safe,BBB
177,F,70+,23.05,112.59,-1.1197305642008604,Stable,Medium,Avoid,AA
178,M,40s,28.98,31.81,1.2878639769865474,Stable,Long,Safe,BBB
179,F,50s,30.35,14.92,-1.7766729744490894,Stable,Medium,Safe,AA
180,M,70+,34.62,7.71,10.495733055592924,Stable,Short,Neutral,A
181,M,50s,48.83,52.55,3.382253726418272,Inheritance,Long,Neutral,AA
182,M,60s,29.13,41.37,1.1349587942347972,Growth,Long,Neutral,AA
183,F,40s,22.32,18.52,7.972872700511147,Retire,Short,Active,AA
184,F,70+,21.63,83.38,-2.669318514555308,Stable,Short,Safe,AA
185,M,60s,18.37,22.66,5.147374532955418,Stable,Long,Neutral,AA
186,F,70+,56.26,29.34,1.2333965903950972,Inheritance,Long,Neutral,AA
187,F,60s,17.86,32.62,-4.828134556590358,Inheritance,Short,Avoid,AAA
188,M,50s,58.99,24.15,12.751838143104276,Stable,Medium,Safe,AAA
189,M,70+,30.42,40.95,9.855877285140725,Stable,Long,Neutral,A
190,M,50s,19.75,93.35,8.935375811036096,Stable,Long,Safe,AA
191,M,50s,49.14,11.84,5.554208600833821,Stable,Medium,Neutral,AAA
192,F,60s,16.74,51.4,0.8112130179828148,Retire,Medium,Neutral,BBB
193,F,60s,49.93,38.67,11.13519229969806,Growth,Short,Safe,AAA
194,F,70+,35.52,38.03,-2.61696080540873,Stable,Medium,Safe,AAA
195,M,50s,18.6,72.58,3.9358380585847055,Growth,Long,Safe,AAA
196,M,60s,45.74,34.62,9.722519648466466,Stable,Short,Neutral,A
197,F,60s,46.4,51.02,-1.9257606015690265,Growth,Long,Safe,AA
198,F,40s,75.64,63.07,3.018391118194441,Growth,Medium,Active,AA
199,F,50s,64.9,21.03,0.7784314747173449,Stable,Medium,Active,A
200,F,50s,44.39,43.35,3.760151168218529,Growth,Short,Safe,AAA
201,F,50s,12.16,26.42,-4.954521599584827,Stable,Long,Active,BBB
202,M,70+,212.48,29.39,-3.7350809056158494,Retire,Medium,Neutral,AAA
203,M,60s,9.75,24.78,5.935076467093658,Retire,Long,Safe,BBB
204,F,60s,64.03,50.6,-1.6594571291770444,Retire,Long,Neutral,BBB
205,F,70+,42.31,35.64,1.3789467348165996,Retire,Medium,Neutral,AAA
206,M,50s,11.71,47.23,0.7346866611601666,Growth,Long,Avoid,BBB
207,M,60s,27.13,32.6,-3.5437636316623444,Stable,Short,Safe,AAA
208,F,50s,28.13,7.82,8.607446596067337,Retire,Long,Avoid,AAA
209,M,70+,85.15,34.06,11.47900317446755,Growth,Short,Safe,BBB
210,M,40s,16.93,35.06,-2.8307860399238383,Growth,Medium,Safe,BBB
211,M,70+,24.3,41.2,7.89306563435157,Stable,Long,Neutral,BBB
212,F,50s,5.0,19.41,-1.6278605900977627,Retire,Short,Safe,AA
213,F,50s,120.04,11.29,-6.652120788160643,Retire,Long,Avoid,BBB
214,M,60s,12.73,58.1,-2.843260018837046,Stable,Long,Safe,A
215,F,50s,38.92,25.89,-1.819244487118144,Growth,Medium,Active,A
216,M,60s,27.63,38.63,-3.999671827654272,Retire,Short,Safe,AAA
217,M,50s,27.7,25.71,3.1270831888671857,Stable,Long,Neutral,AA
218,F,60s,57.28,32.94,1.3181493155870694,Inheritance,Long,Neutral,AAA
219,F,50s,114.09,22.1,-0.1165308260160813,Growth,Short,Neutral,AAA
220,F,40s,36.64,13.86,-0.9258195640865718,Stable,Long,Neutral,A
221,F,50s,50.61,50.72,0.8728289357932129,Growth,Long,Avoid,AA
222,M,50s,38.98,19.24,-4.1211065573216406,Growth,Medium,Safe,AAA
223,M,40s,67.63,38.38,2.844260074086047,Stable,Long,Safe,AAA
224,M,50s,20.69,47.91,8.565564738405286,Growth,Medium,Neutral,AA
225,M,50s,70.83,19.53,16.438652141261677,Stable,Long,Avoid,BBB
226,M,40s,72.85,11.21,2.858512423843207,Growth,Medium,Safe,AA
227,F,60s,71.24,293.97,-3.324335196184025,Inheritance,Short,Neutral,A
228,M,70+,17.67,20.59,11.093150032876874,Stable,Long,Safe,AA
229,F,40s,26.19,58.04,-3.7536178541637377,Growth,Short,Neutral,AAA
230,F,60s,36.29,189.71,12.54897993082671,Growth,Long,Safe,A
231,F,60s,10.01,67.42,-5.069492613223359,Growth,Long,Aggressive,AA
232,M,50s,107.33,25.27,-1.7920582128620357,Growth,Medium,Aggressive,AA
233,M,60s,29.67,31.17,4.489748451351616,Retire,Medium,Neutral,AA
234,M,50s,37.61,15.65,-0.303987284358842,Growth,Long,Aggressive,AAA
235,M,50s,18.89,73.22,-8.967383309636078,Growth,Medium,Safe,AA
236,F,40s,10.37,55.13,1.6987135588367064,Growth,Long,Neutral,AA
237,M,60s,18.48,20.84,5.22677063569772,Growth,Medium,Safe,AAA
238,M,60s,35.71,12.96,4.067422979908941,Retire,Long,Neutral,AA
239,F,40s,51.35,10.08,-1.5226066367726498,Stable,Medium,Safe,AAA
240,M,50s,34.1,80.47,0.7875534954898455,Growth,Short,Safe,A
241,F,70+,39.54,36.9,-2.86378112009702,Inheritance,Short,Aggressive,BBB
242,F,50s,22.88,40.18,4.385491379322781,Retire,Short,Safe,AAA
243,F,50s,44.57,15.79,0.5344593531994235,Stable,Medium,Neutral,BBB
244,M,70+,98.13,8.87,1.5309848314438934,Growth,Long,Neutral,BBB
245,M,60s,52.66,78.76,7.959832732565464,Growth,Short,Safe,A
246,F,60s,57.26,34.39,4.211126577862201,Growth,Short,Neutral,A
247,M,60s,37.91,74.93,-0.4168760880329691,Retire,Medium,Safe,AA
248,F,70+,9.0,23.4,0.9156965658406292,Growth,Long,Active,AAA
249,F,50s,12.99,26.76,-4.243333354390122,Growth,Long,Aggressive,AAA
250,F,50s,43.12,62.93,8.48741692312245,Growth,Short,Neutral,AAA
251,M,50s,29.7,64.01,-6.674225520558908,Growth,Long,Active,A
252,M,70+,42.6,67.88,8.6191343451675,Stable,Long,Avoid,AAA
253,F,60s,114.56,25.39,0.938494225144204,Other,Medium,Safe,A
254,M,40s,53.56,57.58,8.678635860006079,Growth,Long,Safe,AA
255,M,70+,82.03,89.85,16.55123522349673,Stable,Medium,Neutral,A
256,M,50s,32.32,30.14,9.612414948760662,Inheritance,Long,Safe,A
257,F,40s,15.71,20.86,7.304532052288004,Inheritance,Long,Neutral,AA
258,F,50s,28.61,110.88,8.197429228839969,Growth,Long,Neutral,AAA
259,M,50s,15.74,18.38,5.139737684584755,Stable,Short,Safe,AA
260,M,70+,104.23,58.35,8.545072983609048,Stable,Medium,Safe,AAA
261,F,50s,56.39,31.42,4.903198849671475,Stable,Long,Avoid,AA
262,F,60s,45.44,6.31,4.4944594755774725,Retire,Long,Neutral,AAA
263,M,60s,80.54,91.44,6.365166271051104,Stable,Long,Safe,AAA
264,M,40s,5.95,5.0,6.527407731825408,Stable,Long,Safe,BBB
265,F,70+,47.97,5.55,0.4836197699099376,Retire,Long,Neutral,AAA
266,F,50s,10.5,53.23,0.4743236970941034,Inheritance,Long,Safe,A
267,F,50s,29.79,53.22,1.038103690603176,Stable,Medium,Neutral,AAA
268,F,50s,23.35,18.66,2.439297563958976,Stable,Medium,Neutral,A
269,M,70+,50.88,37.83,4.686397941798881,Stable,Medium,Neutral,AA
270,M,50s,35.97,5.0,-2.5089511173755685,Retire,Long,Neutral,BBB
271,F,40s,87.89,62.57,15.24845090878335,Growth,Medium,Safe,AA
272,F,40s,18.51,41.46,0.4079263237898312,Stable,Short,Safe,A
273,F,50s,52.84,31.78,12.968320977900106,Growth,Short,Neutral,AAA
274,F,60s,34.12,33.74,2.600322131682975,Growth,Long,Avoid,AA
275,M,50s,8.1,51.62,17.12448339451371,Stable,Short,Active,AAA
276,M,50s,14.37,32.27,-3.0015049386078907,Stable,Short,Safe,AA
277,F,40s,26.58,6.13,3.0199393290684107,Retire,Medium,Neutral,AAA
278,F,50s,72.95,239.06,8.53728676264225,Retire,Medium,Safe,AA
279,F,70+,43.42,97.58,13.59024296501925,Stable,Medium,Active,A
280,F,50s,11.78,10.42,-9.674664940021149,Growth,Short,Neutral,AAA
281,F,70+,26.78,24.27,-11.999905357862485,Stable,Short,Neutral,AA
282,M,50s,150.54,26.78,1.7934781984524584,Retire,Long,Neutral,A
283,M,40s,32.75,87.44,5.653697251632028,Retire,Long,Safe,A
284,M,70+,23.06,5.0,8.960929986142329,Growth,Short,Neutral,AA
285,M,50s,44.41,21.13,-0.2188562227358859,Stable,Long,Safe,AAA
286,M,60s,55.19,6.79,0.6400598307340744,Retire,Long,Neutral,AA
287,M,70+,20.8,25.62,6.322493830166853,Growth,Long,Safe,A
288,M,40s,44.79,21.64,1.640810545882987,Retire,Medium,Avoid,AAA
289,M,40s,23.03,35.58,4.508682945124343,Stable,Medium,Avoid,AAA
290,M,60s,53.27,19.21,1.2905427968632033,Stable,Long,Safe,A
291,M,50s,34.32,16.85,-1.064829669930034,Inheritance,Medium,Safe,AA
292,M,40s,44.06,57.84,9.280791382888708,Retire,Medium,Active,BBB
293,F,40s,16.32,49.86,3.7578315673145513,Stable,Medium,Neutral,AAA
294,M,40s,15.53,54.39,5.545888024646239,Inheritance,Long,Aggressive,AAA
295,M,60s,63.84,28.24,-5.308757020399457,Stable,Medium,Safe,AA
296,M,40s,28.12,19.8,0.2588345652277946,Growth,Medium,Neutral,AA
297,F,50s,37.64,29.76,2.9092836435006264,Stable,Long,Neutral,AA
298,M,60s,23.45,51.99,4.243915369824491,Retire,Long,Neutral,AAA
299,F,50s,61.5,5.0,0.277156181482896,Growth,Medium,Neutral,AA
300,M,40s,18.43,47.21,-0.4084946715655513,Inheritance,Medium,Neutral,AAA
301,M,60s,26.88,43.74,-5.335880500045665,Stable,Long,Neutral,A
302,M,40s,56.19,35.02,12.451223138878852,Growth,Short,Neutral,AA
303,M,60s,76.58,28.95,2.414993624687556,Growth,Long,Neutral,AA
304,F,70+,19.71,5.0,-3.683884139546989,Stable,Long,Aggressive,A
305,F,50s,143.7,22.29,-0.6506719129478311,Growth,Medium,Active,A
306,F,50s,38.5,165.75,-8.520053230926727,Retire,Short,Neutral,AAA
307,M,50s,13.01,33.5,1.3601166643900653,Stable,Short,Avoid,AAA
308,M,50s,40.26,25.11,-5.5161845357521,Stable,Long,Avoid,BBB
309,F,70+,22.06,33.62,-8.789038317182074,Growth,Medium,Safe,AAA
310,M,70+,42.4,45.57,0.3280547762736008,Stable,Medium,Avoid,A
311,M,50s,28.95,59.92,2.1408845539193644,Growth,Medium,Safe,AAA
312,M,60s,31.8,26.95,5.763945828581862,Retire,Short,Avoid,A
313,M,70+,14.45,48.54,3.3058820433083724,Retire,Long,Neutral,AAA
314,F,70+,66.16,149.75,1.0586362156926432,Growth,Medium,Safe,AA
315,F,50s,11.88,81.91,-3.4451194176511657,Growth,Long,Neutral,AA
316,F,50s,12.34,272.13,-4.025989676752662,Stable,Medium,Safe,AA
317,M,50s,40.2,18.34,2.212635312588196,Stable,Medium,Active,BBB
318,M,70+,108.02,149.69,2.71911810518326,Inheritance,Long,Neutral,BBB
319,M,40s,22.6,16.25,7.402741758883202,Retire,Long,Safe,AAA
320,M,60s,52.5,45.52,-2.970086923836701,Growth,Long,Active,A
321,M,50s,70.72,64.02,4.120863327317914,Growth,Short,Safe,AAA
322,F,50s,57.5,20.91,-6.2340453805729945,Growth,Medium,Active,AAA
323,F,50s,23.36,35.84,8.874326427231694,Inheritance,Long,Neutral,A
324,M,70+,12.52,75.14,-3.702121567543593,Growth,Long,Safe,AAA
325,F,40s,5.12,17.47,7.832373953808491,Stable,Long,Avoid,AAA
326,F,60s,24.28,148.78,0.6685541954979612,Stable,Long,Safe,AAA
327,M,40s,76.9,9.52,2.587200129649947,Stable,Short,Active,A
328,F,40s,12.19,189.75,-2.7066851264019864,Retire,Long,Neutral,A
329,M,50s,52.47,81.55,2.9868642175456817,Inheritance,Long,Safe,BBB
330,M,50s,14.01,30.55,3.3551071077722927,Retire,Short,Neutral,AA
331,M,50s,32.62,23.05,8.378171042977955,Growth,Medium,Safe,A
332,F,50s,52.79,20.98,-0.5286918626936532,Growth,Long,Avoid,AAA
333,M,40s,17.68,29.31,2.947666622108991,Growth,Medium,Active,AAA
334,M,50s,34.34,31.7,-6.764789670072247,Stable,Long,Neutral,AA
335,M,70+,21.5,102.48,-3.6686199361455007,Growth,Long,Safe,BBB
336,M,70+,52.67,194.76,-1.3142688705674588,Stable,Long,Active,A
337,F,50s,36.17,39.62,-0.3840411702217494,Growth,Long,Safe,BBB
338,F,60s,31.35,15.47,-2.2037373746884303,Stable,Medium,Safe,A
339,M,70+,104.24,20.26,-2.909144691449872,Inheritance,Medium,Safe,AAA
340,M,40s,50.9,28.08,11.052820397507368,Retire,Long,Neutral,A
341,M,60s,17.25,13.1,13.26718432383065,Stable,Medium,Neutral,AA
342,M,70+,27.97,11.46,14.79873453661149,Stable,Short,Avoid,BBB
343,M,40s,28.2,218.64,-3.640395740133917,Growth,Long,Neutral,AA
344,M,40s,31.95,43.48,0.3697220563040559,Growth,Medium,Neutral,AAA
345,M,70+,225.79,15.65,3.705801997090808,Retire,Short,Neutral,A
346,F,50s,40.31,69.06,-0.5014686121232237,Retire,Short,Active,BBB
347,F,40s,5.88,11.47,6.606076908258363,Stable,Long,Safe,AA
348,M,50s,19.41,12.35,-5.227910523937373,Stable,Medium,Safe,A
349,M,50s,6.39,16.07,-0.6500426479450816,Stable,Medium,Neutral,AAA
350,F,60s,23.02,146.8,-4.841483970002303,Stable,Long,Safe,A
351,M,60s,6.11,26.37,2.56515636674719,Growth,Medium,Avoid,AAA
352,F,70+,14.92,5.0,1.1177907475926396,Stable,Short,Avoid,AAA
353,F,50s,8.88,98.4,0.199904632434511,Inheritance,Long,Neutral,AA
354,M,50s,40.74,25.13,0.2429675585217339,Retire,Short,Avoid,BBB
